return_code,line_item_code,reporting_period_end,variant_seq,label_as_filed,accounting_basis,is_primary_basis,note
E3,3193,2017 Q4 - 2017,0,"E3, Allowances for expected credit losses, deposits with regulated financial institutions, net impaired amount",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
E3,3193,2017 Q4 - 2017,1,"Return of impaired assets: deposits with regulated financial institutions, carrying amount",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
E3,3194,2017 Q4 - 2017,0,"E3, Allowances for expected credit losses, securities, net impaired amount",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
E3,3194,2017 Q4 - 2017,1,"Return of impaired assets: securities, carrying amount",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
E3,3195,2017 Q4 - 2017,0,"E3, Allowances for expected credit losses, loans, non-mortgage loans, to individuals for non-business purposes, net impaired amount",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
E3,3195,2017 Q4 - 2017,1,"Return of impaired assets: loans, non-mortgage loans, to individuals for non business purposes, carrying amount",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
E3,3196,2017 Q4 - 2017,0,"E3, Allowances for expected credit losses, loans, non-mortgage loans, to individuals for non-business purposes, other, net impaired amount",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
E3,3196,2017 Q4 - 2017,1,"Return of impaired assets: loans, non-mortgage loans, other than to individuals for non business purposes, carrying amount",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
E3,3201,2017 Q4 - 2017,0,"E3, Allowances for expected credit losses, total, net impaired amount",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
E3,3201,2017 Q4 - 2017,1,"Return of impaired assets: total, carrying amount",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
M4,0510,2017-11-30,0,"Consolidated monthly balance sheet: securities, securities issued or guaranteed by Canada/Canadian province/Canadian municipal or school corporation, treasury bills and other short term paper, foreign currency",,false,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=False based on most-recently-observed wording; confirm before trusting.
M4,0510,2017-11-30,1,"M4, assets, securities, securities issued or guaranteed by canada/ canadian province/canadian municipal or school corporation, less allowance for expected credit losses where applicable, treasury bills and other short term paper, foreign currency",,true,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=True based on most-recently-observed wording; confirm before trusting.
M4,0510,2017-12-31,0,"Consolidated monthly balance sheet: securities, securities issued or guaranteed by Canada/Canadian province/Canadian municipal or school corporation, treasury bills and other short term paper, foreign currency",,false,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=False based on most-recently-observed wording; confirm before trusting.
M4,0510,2017-12-31,1,"M4, assets, securities, securities issued or guaranteed by canada/ canadian province/canadian municipal or school corporation, less allowance for expected credit losses where applicable, treasury bills and other short term paper, foreign currency",,true,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=True based on most-recently-observed wording; confirm before trusting.
M4,0537,2017-11-30,0,"Consolidated monthly balance sheet: securities, securities issued or guaranteed by Canada/Canadian province/Canadian municipal or school corporation, other securities, foreign currency",,false,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=False based on most-recently-observed wording; confirm before trusting.
M4,0537,2017-11-30,1,"M4, assets, securities, securities issued or guaranteed by canada/ canadian province/canadian municipal or school corporation, less allowance for expected credit losses where applicable, other securities, foreign currency",,true,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=True based on most-recently-observed wording; confirm before trusting.
M4,0537,2017-12-31,0,"Consolidated monthly balance sheet: securities, securities issued or guaranteed by Canada/Canadian province/Canadian municipal or school corporation, other securities, foreign currency",,false,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=False based on most-recently-observed wording; confirm before trusting.
M4,0537,2017-12-31,1,"M4, assets, securities, securities issued or guaranteed by canada/ canadian province/canadian municipal or school corporation, less allowance for expected credit losses where applicable, other securities, foreign currency",,true,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=True based on most-recently-observed wording; confirm before trusting.
M4,0865,2017-11-30,0,"Consolidated monthly balance sheet: assets, securities issued or guaranteed by Canada/Canadian province/Canadian municipal or school corporation, treasury bills and other short term paper, total",,false,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=False based on most-recently-observed wording; confirm before trusting.
M4,0865,2017-11-30,1,"M4, assets, securities, securities issued or guaranteed by canada/ canadian province/canadian municipal or school corporation, less allowance for expected credit losses where applicable, treasury bills and other short term paper, total",,true,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=True based on most-recently-observed wording; confirm before trusting.
M4,0865,2017-12-31,0,"Consolidated monthly balance sheet: assets, securities issued or guaranteed by Canada/Canadian province/Canadian municipal or school corporation, treasury bills and other short term paper, total",,false,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=False based on most-recently-observed wording; confirm before trusting.
M4,0865,2017-12-31,1,"M4, assets, securities, securities issued or guaranteed by canada/ canadian province/canadian municipal or school corporation, less allowance for expected credit losses where applicable, treasury bills and other short term paper, total",,true,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=True based on most-recently-observed wording; confirm before trusting.
M4,0866,2017-11-30,0,"Consolidated monthly balance sheet: assets, securities issued or guaranteed by Canada/Canadian province/Canadian municipal or school corporation, other securities, total",,false,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=False based on most-recently-observed wording; confirm before trusting.
M4,0866,2017-11-30,1,"M4, assets, securities, securities issued or guaranteed by canada/ canadian province/canadian municipal or school corporation, less allowance for expected credit losses where applicable, other securities, total",,true,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=True based on most-recently-observed wording; confirm before trusting.
M4,0866,2017-12-31,0,"Consolidated monthly balance sheet: assets, securities issued or guaranteed by Canada/Canadian province/Canadian municipal or school corporation, other securities, total",,false,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=False based on most-recently-observed wording; confirm before trusting.
M4,0866,2017-12-31,1,"M4, assets, securities, securities issued or guaranteed by canada/ canadian province/canadian municipal or school corporation, less allowance for expected credit losses where applicable, other securities, total",,true,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=True based on most-recently-observed wording; confirm before trusting.
P3,0791,2007 Q1 - 2007,0,"Consolidated statement of income - retained earnings and AOCI: section 1, interest income, other than securities/mortgages/non-mortgage loans, other interest-earning assets, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,0791,2007 Q1 - 2007,1,"Consolidated statement of income - retained earnings and AOCI: section 1, interest income, other than securities/mortgages/non-mortgage loans, other interest-earning assets, total booked in and outside Canada (year to date)",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,1159,2017 Q4 - 2017,0,"Consolidated statement of income - retained earnings and AOCI: section 4 - comprehensive income, schedule 1, other comprehensive income (loss), available for sale securities, change in unrealized gains and losses, equities, year to date",,false,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=False based on most-recently-observed wording; confirm before trusting.
P3,1159,2017 Q4 - 2017,1,"P3, comprehensive income, other comprehensive income (loss), securities classified as fair value through other comprehensive income, change in unrealized gains and losses, equities (IAS 39), year to date",,true,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=True based on most-recently-observed wording; confirm before trusting.
P3,1160,2008 Q4 - 2008,0,"Consolidated statement of income - retained earnings and AOCI: section 4 - comprehensive income, schedule 1, other comprehensive income (loss), available for sale securities, change in unrealized gains and losses, debt, year to date",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,1160,2008 Q4 - 2008,1,"Consolidated statement of income - retained earnings and AOCI: section 4 - comprehensive income, schedule 1, other comprehensive income (loss), available for sale securities, change in unrealized gains and losses, debt, year to date",,,"NEEDS REVIEW - auto-derivation failed: Return Title has 3+ distinct historical values for this code, and neither variant in this pair matches the most-recently-observed wording. Manual decision required."
P3,1160,2017 Q4 - 2017,0,"Consolidated statement of income - retained earnings and AOCI: section 4 - comprehensive income, schedule 1, other comprehensive income (loss), available for sale securities, change in unrealized gains and losses, debt, year to date",,false,NEEDS REVIEW - label text does not clearly signal a single accounting-basis pair (originally flagged ambiguous in Phase 2). Auto-derivation suggests is_primary_basis=False based on most-recently-observed wording; confirm before trusting.
