return_code,line_item_code,line_item_desc,parent_line_item_code,hierarchy_level,is_subtotal,expected_sign,note
E3,3019,Total,,1,true,,
E3,3038,Total,,1,true,,
E3,3057,Total,,1,true,,
E3,3181,Of which:  Reverse mortgages,,1,true,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3201,Total,,1,true,,
E3,3316,Total,,1,true,,
E3,3367,Total,,1,true,,
E3,3418,Total,,1,true,,
E3,3001,Deposits with regulated financial institutions,3019,2,false,,
E3,3002,Securities,3019,2,true,,
E3,3005,To individuals for non-business purposes,3019,2,true,,
E3,3013,Other,3019,2,false,,
E3,3014,Residential *,3019,2,false,,
E3,3016,Non-residential,3019,2,false,,
E3,3017,Acceptances,3019,2,false,,
E3,3018,Other recognized assets,3019,2,false,,
E3,3020,Deposits with regulated financial institutions,3038,2,false,,
E3,3021,Securities,3038,2,true,,
E3,3024,To individuals for non-business purposes,3038,2,true,,
E3,3032,Other,3038,2,false,,
E3,3033,Residential *,3038,2,false,,
E3,3035,Non-residential,3038,2,false,,
E3,3036,Acceptances,3038,2,false,,
E3,3037,Other recognized assets,3038,2,false,,
E3,3039,Deposits with regulated financial institutions,3057,2,false,,
E3,3040,Securities,3057,2,true,,
E3,3043,To individuals for non-business purposes,3057,2,true,,
E3,3051,Other,3057,2,false,,
E3,3052,Residential *,3057,2,false,,
E3,3054,Non-residential,3057,2,false,,
E3,3055,Acceptances,3057,2,false,,
E3,3056,Other recognized assets,3057,2,false,,
E3,3193,Deposits with regulated financial institutions,3201,2,false,,
E3,3194,Securities,3201,2,true,,
E3,3195,To individuals for non-business purposes,3201,2,true,,
E3,3196,Other,3201,2,false,,
E3,3197,Residential *,3201,2,false,,
E3,3198,Non-residential,3201,2,false,,
E3,3199,Acceptances,3201,2,false,,
E3,3200,Other recognized assets,3201,2,false,,
E3,3224,Reverse Mortgages:  Principal,3181,2,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3225,Reverse Mortgages:  Accrued Interest,3181,2,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3227,Reverse Mortgages:  Accrued Fees,3181,2,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3228,Reverse Mortgages:  Other Accrued Items,3181,2,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3230,Reverse Mortgages:  Unpaid Insurance,3181,2,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3231,Reverse Mortgages:  Unpaid Taxes,3181,2,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3300,Deposits with regulated financial institutions,3316,2,false,,
E3,3301,Securities,3316,2,true,,
E3,3302,To individuals for non-business purposes,3316,2,true,,
E3,3310,Other,3316,2,false,,
E3,3311,Residential *,3316,2,false,,
E3,3313,Non-residential,3316,2,false,,
E3,3314,Acceptances,3316,2,false,,
E3,3315,Other recognized assets,3316,2,false,,
E3,3351,Deposits with regulated financial institutions,3367,2,false,,
E3,3352,Securities,3367,2,true,,
E3,3353,To individuals for non-business purposes,3367,2,true,,
E3,3361,Other,3367,2,false,,
E3,3362,Residential *,3367,2,false,,
E3,3364,Non-residential,3367,2,false,,
E3,3365,Acceptances,3367,2,false,,
E3,3366,Other recognized assets,3367,2,false,,
E3,3402,Deposits with regulated financial institutions,3418,2,false,,
E3,3403,Securities,3418,2,true,,
E3,3404,To individuals for non-business purposes,3418,2,true,,
E3,3412,Other,3418,2,false,,
E3,3413,Residential *,3418,2,false,,
E3,3415,Non-residential,3418,2,false,,
E3,3416,Acceptances,3418,2,false,,
E3,3417,Other recognized assets,3418,2,false,,
E3,3003,Securities measured at amortized cost,3002,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3004,Securities measured at fair value through other comprehensive income,3002,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3006,(A) Credit cards,3005,3,false,,
E3,3007,(B) Personal loan plans,3005,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3009,(C) Personal line of credit,3005,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3012,(D) Other personal,3005,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3022,Securities measured at amortized cost,3021,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3023,Securities measured at fair value through other comprehensive income,3021,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3025,(A) Credit cards,3024,3,false,,
E3,3026,(B) Personal loan plans,3024,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3028,(C) Personal line of credit,3024,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3031,(D) Other personal,3024,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3041,Securities measured at amortized cost,3040,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3042,Securities measured at fair value through other comprehensive income,3040,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3044,(A) Credit cards,3043,3,false,,
E3,3045,(B) Personal loan plans,3043,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3047,(C) Personal line of credit,3043,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3050,(D) Other personal,3043,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3250,Securities measured at amortized cost,3301,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3251,Securities measured at fair value through other comprehensive income,3301,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3256,Securities measured at amortized cost,3352,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3257,Securities measured at fair value through other comprehensive income,3352,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3262,Securities measured at amortized cost,3403,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3263,Securities measured at fair value through other comprehensive income,3403,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3268,Securities measured at amortized cost,3194,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3269,Securities measured at fair value through other comprehensive income,3194,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3303,(A) Credit cards,3302,3,false,,
E3,3304,(B) Personal loan plans,3302,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3306,(C) Personal line of credit,3302,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3309,(D) Other personal,3302,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3354,(A) Credit cards,3353,3,false,,
E3,3355,(B) Personal loan plans,3353,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3357,(C) Personal line of credit,3353,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3360,(D) Other personal,3353,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3405,(A) Credit cards,3404,3,false,,
E3,3406,(B) Personal loan plans,3404,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3408,(C) Personal line of credit,3404,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3411,(D) Other personal,3404,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3453,(A) Credit cards,3195,3,false,,
E3,3454,(B) Personal loan plans,3195,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3456,(C) Personal line of credit,3195,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3459,(D) Other personal,3195,3,false,,code from reference material not observed in loaded filings (may be retired/different vintage)
E3,3015,(A) Of which Uninsured,,,,,NEEDS REVIEW: appears in real filings but not covered by any pure-addition validation rule found -- parent/is_subtotal unknown
